item_name,category,description,price,half_plate_price,full_plate_price,small_price,medium_price,large_price,price_display
Vegetable Samosa,,,11.0,,,,,,₹11.00
Pakoras,,,9.5,,,,,,₹9.50
Aloo Set,,,11.5,,,,,,₹11.50
Dal Soup,,,9.5,,,,,,₹9.50
Onion Bhajia,,,11.5,,,,,,₹11.50
Tofia.E.Noor,,,19.0,,,,,,₹19.00
Lamb Samosa,,,11.0,,,,,,₹11.00
Chicken Samosa,,,11.0,,,,,,₹11.00
Tandoori Chicken,,,10.5,,,,,,₹10.50
Reshmi Kebab,,,9.5,,,,,,₹9.50
Seekh Kebab,,,11.0,,,,,,₹11.00
Chicken Tikka,,,12.5,,,,,,₹12.50
Nawab Paneer Tikka,,,16.5,,,,,,₹16.50
Barra Kebab,,,20.0,,,,,,₹20.00
Prawn Puri,,,16.5,,,,,,₹16.50
Achari Fish Tikka,,,17.0,,,,,,₹17.00
Deluxe Mixed Entrée Per Head,,,16.5,,,,,,₹16.50
