item_name,category,description,price_display,price,half_plate_price,full_plate_price,small_price,medium_price,large_price,currency,spice_level,dietary_tags
Vegetable Samosa,Vegetarian Entrees,"Deep-fried pastry filled with spiced vegetables, 2 pieces.",$11.00,11,,,,,,,,
Pakoras,Vegetarian Entrees,Selection of five seasonal vegetables separately dipped in spicy chick pea batter and deep fried.,$9.50,9.5,,,,,,,,
Aloo Set,Vegetarian Entrees,Deep-fried pastry filled with potatoes marinated in a mint tandoori infused sauce.,$11.50,11.5,,,,,,,,
Dal Soup,Vegetarian Entrees,Deliciously freshly prepared red lentil soup.,$9.50,9.5,,,,,,,,
Onion Bhajia,Vegetarian Entrees,Onion pieces marinated for 48 hours then battered with chickpea flour and fried.,$11.50,11.5,,,,,,,,
Tofia.E.Noor,Vegetarian Entrees,"Roasted paneer in mustard, yoghurt and mint, skewered with capsicum, tomato and onion.",$19.00,19,,,,,,,,
Lamb Samosa,Non-Vegetarian Entrees,Deep-fried pastry filled with minced lamb capsicum and cumin.,$11.00,11,,,,,,,,
Chicken Samosa,Non-Vegetarian Entrees,"Deep-fried pastry filled with spiced chicken breasts, potato and turmeric.",$11.00,11,,,,,,,,
Tandoori Chicken,Non-Vegetarian Entrees,Chicken deeply marinated for 48 hours and smoke-roasted in Tandoor.,$10.50,10.5,,,,,,,,
Reshmi Kebab,Non-Vegetarian Entrees,"Minced chicken mixed with onions, herbs and spices, roasted in Tandoor on skewers.",$9.50,9.5,,,,,,,,
Seekh Kebab,Non-Vegetarian Entrees,"Lamb mince with a touch of Indian spices, infused with cap",$11.00,11,,,,,,,,
Chicken Tikka,,,$12.50,12.5,,,,,,,,
Nawab Paneer Tikka,,,$16.50,16.5,,,,,,,,
Barra kebab,,,$20.00,20,,,,,,,,
Prawn Puri,,,$16.50,16.5,,,,,,,,
Achari Fish Tikka,,,$17.00,17,,,,,,,,
Deluxe Mixed Entrée Per head,,,$16.50,16.5,,,,,,,,
Vegetable Kashmiri Korma,Vegetarian Specialties,,$24.50,24.5,,,,,,,,
Vegetable Kofta,Vegetarian Specialties,,$21.00,21,,,,,,,,
Matar Paneer,Vegetarian Specialties,,$25.00,25,,,,,,,,
Bombay Aloo,Vegetarian Specialties,,$20.00,20,,,,,,,,
Broccoli Masala,Vegetarian Specialties,,$21.00,21,,,,,,,,
Shahi Paneer,Vegetarian Specialties,,$24.00,24,,,,,,,,
Tarka Dhal,Vegetarian Specialties,,$21.00,21,,,,,,,,
Chana Masala,Vegetarian Specialties,,$21.50,21.5,,,,,,,,
"Vegetable Curry (Mild, Medium or Hot)",Vegetarian Specialties,,$21.00,21,,,,,,,,
Bindi Masala,Vegan,Tender okra cooked with caramelised onions and Gujarati spice,$21.00,21,,,,,,,,
Jalfrezi Bindi,,Okra finished with green capsicums and onions in a mint yoghurt mustard sauce.,$21.00,21,,,,,,,,
Baingan Masala,Vegan,Delicious eggplant simmered in capsicum onions and tomatoes with delicate spices,$26.00,26,,,,,,,,
Karahii paneer,,"Home made paneer cheese finished in yoghurt with capsicum and onions, spiced with cloves and amchoor flavour.",$25.00,25,,,,,,,,
Paneer jalfrezi,,"Beautiful cubes of home-made paneer finished in mint and mustard with capsicums, onions, yoghurt and crushed red chilies.",$25.00,25,,,,,,,,
Malai kofta,,Delicious dumplings of cashew coconut sultanas and potatoes finished in a delicate cream sauce.,$24.00,24,,,,,,,,
Saag Aloo,Vegan,Potatoes rubbed in turmeric and finished in chopped spinach.,$21.50,21.5,,,,,,,,
Aloo Gobi,Vegan,Delicious potatoes and cauliflower soaked in lime juice with dry ground spices.,$21.50,21.5,,,,,,,,
Palak Paneer,,Home-made diced cottage cheese cooked in chopped spinach and tomatoes.,$25.00,25,,,,,,,,
Dal Makani,,Select black lentils cooked in a rich butter gravy with North Indian spices and heavy cream. delicious velvety and decadent,$24.00,24,,,,,,,,
Mango chicken,,Tender chicken breasts simmered in mango and fresh cream. A delicate mild dish.,$24.50,24.5,,,,,,,,
Butter Chicken,,"Roasted tandoori chicken cooked with cream, honey and tomatoes. Loved by many. (Mild)",$24.50,24.5,,,,,,,,
Chicken Masta Masala,,Boneless chicken tikka simmered in tandoori gravy with fenugreek and yoghurt. (Medium hot),$24.50,24.5,,,,,,,,
Chicken Jalferzi,,"Boneless chicken breasts cooked in the chef’s unique mint gravy with crushed red chilli’s, onions and capsicums. (Medium hot)",$24.50,24.5,,,,,,,,
Saag Chicken,,Tender chicken breast pieces cooked with chopped spinach and tomatoes.,$24.50,24.5,,,,,,,,
Chicken Tikka Masala,,"Boneless chicken pieces roasted in the Tandoor, then finished off in the chef’s unique mint gravy.",$24.50,24.5,,,,,,,,
Chicken Madras,,"Chicken breast piece rubbed in tumeric, cooked with chopped tomatoes, in coconut and onion sauce.",$24.50,24.5,,,,,,,,
Chicken Vindaloo,,"Tender Chicken Breast curry with potatoes, very hot.",$24.50,24.5,,,,,,,,
Chicken Kashmiri (Med),,"Chicken Breasts cooked with spice, fruit, nuts and cream.",$24.50,24.5,,,,,,,,
Chicken Korma (Mild),,Boneless chicken pieces cooked in cream finished with cashew nuts.,$24.50,24.5,,,,,,,,
Fish Curry,Seafood,"Boneless pieces of tender Monkfish soaked in lime juice and finished in coconut cream with onions. (Mild, medium or hot)",$28.00,28,,,,,,,,
Prawn Curry,Seafood,"Succulent prawns fully shelled soaked in lime juice overnight and finished with coconut, onions and green herbs. (Mild, medium or hot)",$32.00,32,,,,,,,,
Squid Curry,Seafood,"Pieces of squid cooked on a delicious sauce of Gujarat spices for a mere 8 seconds ensuring tenderness. (Mild, medium or hot)",$26.00,26,,,,,,,,
Lamb Korma (Mild),Lamb Specialities,Tender pieces of lamb cooked in cream finished with cashew nuts.,$26.00,26,,,,,,,,
Rogan Gosht,Lamb Specialities,Succulent pieces of lamb cooked in a thick gravy with a distinctive tomato flavour. (Medium),$26.00,26,,,,,,,,
Saag Gosht,Lamb Specialities,Diced lamb cooked with green herbs and spinach. (Medium),$26.00,26,,,,,,,,
Lamb Vindaloo,Lamb Specialities,"Diced Lamb curry with potatoes, very hot.",$26.00,26,,,,,,,,
Bhuna Josh,Lamb Specialities,Succulent pieces of lamb cooked in a thick gravy with a distinctive mint flavour.,$26.00,26,,,,,,,,
Methi Gosht,Lamb Specialities,"Lamb pieces cooked with fenugreek leaves, onions and tomato, aromatically bitter.",$26.00,26,,,,,,,,
Lamb Badam Pasanda,Lamb Specialities,"Marinated lamb pieces cooked in cream, spiced and garnished with almonds.",$26.00,26,,,,,,,,
Lamb Madras,Lamb Specialities,Succulent pieces of cubed leg lamb cooked in onions southern Indian style with coconut and tomatoes.,$26.00,26,,,,,,,,
Tandoori Chicken,Tandori Specialties,Whole Traditional grilled chicken marinated for 48 hours with mint fenugreek and yoghurt,Half: $19.00 | Full: $35.00,,19,35,,,,,,
Chicken Tikka,Tandori Specialties,"Succulent, chicken breasts cooked in Tandoor with yoghurt & mustard highly spiced",$25.00,25,,,,,,,,
Seekh Kebab,Tandori Specialties,"Lamb mince with a touch of Indian spices, infused with capsicum seeds, onions then roasted on Tandoor skewers.",$23.00,23,,,,,,,,
Reshmi Kebab,Tandori Specialties,Chicken mince mixed with green and dry herbs roasted in Tandoor on Skewers.,$19.00,19,,,,,,,,
Nawab Tikka,Tandori Specialties,Succulent,$29.00,29,,,,,,,,
Nawab Panir Tikka (2 Skewers),,,$29.00,29,,,,,,,,
Goan Pork Curry,,,$26.50,26.5,,,,,,,,
Pork Vindaloo,,,$26.50,26.5,,,,,,,,
Samba Masala (Venison),,,$29.00,29,,,,,,,,
Gehtu Masala,,,$28.00,28,,,,,,,,
Murgh Chuttri,,,$25.00,25,,,,,,,,
Goan Squid Masala,,,$26.00,26,,,,,,,,
Chicken Dopiaza,,,$25.00,25,,,,,,,,
Karahii Chicken,,,$27.00,27,,,,,,,,
Lamb Dunsark DF,,,$27.00,27,,,,,,,,
Chicken Dunsark DF,,,$25.00,25,,,,,,,,
Tandori Mixed Grill (For One),,,$42.00,42,,,,,,,,
Murgh Masalam (For One),,"This Tandoori dish represents tender chicken on the bone barbecued on skewers, then garnished with a Masala sauce of delicate herbs and rich unique home prepared spices: Medium or hot served with: Onion Kulcha, Palau Rice, Poppadoms and Chutney.",$31.00,31,,,,,,,,
Murgh Masalam (For TWO),,"This Tandoori dish represents tender chicken on the bone barbecued on skewers, then garnished with a Masala sauce of delicate herbs and rich unique home prepared spices: Medium or hot served with: Rogini Nan, Palau Rice, Poppadoms and Chutney.",$60.00,60,,,,,,,,
Pulau Rice,Rice Specialties,"Mildly spiced fried rice cooked with cumin, cinnamon sticks and bay leaves.",$3.50,3.5,,,,,,,,
Coconut Rice,Rice Specialties,A perfect example of authentic South Indian cuisine cooked with coconut cream and caramelised onion.,$3.50,3.5,,,,,,,,
Basmati Steamed Rice,Rice Specialties,Loved by many. Steamed long grain basmati rice.,$3.50,3.5,,,,,,,,
Murgh Biryani,Rice Specialties,"Boneless Tandoori chicken and rice cooked together with vegetables, dried fruits, nuts and garnished with egg omelette and served with a superb vegetable sauce.",$32.00,32,,,,,,,,
Vegetable Biryani,Rice Specialties,"Fresh cauliflower, broccoli, capsicums, potatos, panner and peas cooked with dried fruits, nuts and rice.",$29.00,29,,,,,,,,
Prawn Biryani,Rice Specialties,"Prawns and rice cooked with vegetables, dried fruit, nuts and spices.",$36.00,36,,,,,,,,
Chicken Biryani,Rice Specialties,"Chicken breasts cooked with rice, dried fruit, nut and spices.",$29.00,29,,,,,,,,
Lamb Biryani,Rice Specialties,"Tender pieces of lamb cooked with rice, dried fruit, nut and spices.",$36.00,36,,,,,,,,
Nan,Tandori Breads,Leavened flour bread baked in clay oven.,$5.00,5,,,,,,,,
Cheese Nan,Tandori Breads,Soft Nan stuffed with aged Egmont chedder and topped with garlic.,$8.50,8.5,,,,,,,,
Garlic Nan,Tandori Breads,Leavened flour bread with a touch of garlic.,$5.00,5,,,,,,,,
Kheema Nan,Tandori Breads,Leavened Indian bread stuffed with minced lamb and spices.,$9.50,9.5,,,,,,,,
Peshawari Nan,Tandori Breads,"Large leavened bread, stuffed with dried fruits and nuts.",$9.50,9.5,,,,,,,,
Rogini Nan,Tandori Breads,Large leavened bread richly topped with yolks of eggs.,$9.50,9.5,,,,,,,,
Onion Kulcha,,"Round leavened bread, with chopped onions cumin and turmeric.",$5.50,5.5,,,,,,,,
Paratha,Vegan,"Flaky rich wholemeal bread, twice turned and layered. (Dairy free)",$6.50,6.5,,,,,,,,
Stuffed Paratha,Vegan,"Wholemeal bread stuffed with spiced potato, cumin seeds, turmeric and chilli.",$7.00,7,,,,,,,,
Tandoori Roti,Vegan,Traditional wholemeal unleavened bread. (Dairy free),$5.00,5,,,,,,,,
Poppadoms,,,$1.70,1.7,,,,,,,,
Mango Chutney,Sweet,,$1.60,1.6,,,,,,,,
Mango Pickle,Sour hot,,$1.60,1.6,,,,,,,,
Lime Pickle,Aromatic,,$1.60,1.6,,,,,,,,
Chilli Pickle,,,$1.60,1.6,,,,,,,,
Tamarind Sauce,,,$3.50,3.5,,,,,,,,
Plain Yoghurt,Homemade,,$5.50,5.5,,,,,,,,
Mint Yoghurt,Sweet,,$4.50,4.5,,,,,,,,
Dahi Raita,,"Cool thick homemade yoghurt with shredded cucumber, pink himalayan salt and garlic.",$7.50,7.5,,,,,,,,
Onion Salad,,"Diced onions, cucumber, carrots and tomatoes with spice.",$8.00,8,,,,,,,,
Combination Chutney and Pickles,,,$6.00,6,,,,,,,,
Green Salad,,,$8.00,8,,,,,,,,
